timestamp_utc,timestamp_original,host,user,source,event_id,category,process,parent_process,command_line,source_address,destination_address,file_path,description,evidence_reference
2026-07-18T13:19:34Z,2026-07-18T13:19:34Z,VICTIM-MAYURI,MAYURI\SYSTEM,XmlWinEventLog:Microsoft-Windows-PowerShell/Operational,4104,alert,powershell.exe,qmguestagent-hosted execution,"$ErrorActionPreference='Stop'; $encoded='...'; Invoke-Expression (...) ; Get-Item ""$env:SystemRoot\Temp\art-marker.txt""",,,,Suspicious PowerShell Execution,investigations/cases/IR-2026-001/alert.json
2026-07-19T20:09:50.967221Z,2026-07-19T20:09:50.967221Z,VICTIM-MAYURI,MAYURI\SYSTEM,controller,enrichment,enrichment,powershell.exe,qmguestagent-hosted execution,"$ErrorActionPreference='Stop'; $encoded='...'; Invoke-Expression (...) ; Get-Item ""$env:SystemRoot\Temp\art-marker.txt""",,,,Deterministic enrichment completed,investigations/cases/IR-2026-001/enrichment.json
